order_id,city,zone,distance_km,estimated_time_min,order_value,base_delivery_fee,surge_multiplier,weather,rain_intensity,temperature,humidity,wind_speed,traffic_level,hour_of_day,day_of_week,is_weekend,festival_flag,restaurant_prep_time,historical_rider_speed,historical_acceptance_rate_zone,historical_cancel_rate_zone,delivery_revenue,incentive_given,order_accepted
10026,Pune,North,7.2,33.5,426.0,43.0,1.17,Fog,0.15,27.2,48.0,10.9,Medium,2,Friday,0,0,8.7,19.7,0.846,0.09,144.03,69.0,1
10027,Mumbai,North,18.3,66.6,197.0,99.0,1.06,Clear,0.13,25.0,77.9,7.6,Medium,5,Wednesday,0,0,9.7,24.0,0.612,0.285,148.28,59.0,0
10028,Bangalore,Industrial,4.9,24.4,325.0,49.0,1.47,Heavy Rain,0.67,29.0,82.4,24.8,High,22,Tuesday,0,0,7.3,20.4,0.669,0.074,143.53,69.0,1
10029,Hyderabad,Central,2.4,11.4,243.0,28.0,2.05,Cloudy,0.09,35.8,75.9,5.9,Low,13,Friday,0,0,8.8,22.3,0.956,0.044,110.86,2.0,1
10030,Mumbai,Central,7.5,27.5,109.0,63.0,1.27,Cloudy,0.11,31.2,91.9,7.9,Low,15,Tuesday,0,0,16.7,21.7,0.935,0.009,103.99,27.0,0
10031,Hyderabad,South,13.7,40.5,461.0,99.0,1.31,Cloudy,0.07,35.4,48.6,2.5,Low,20,Saturday,1,0,10.5,18.9,0.864,0.322,231.11,5.0,0
10032,Mumbai,Central,3.7,25.3,420.0,36.0,2.03,Light Rain,0.3,30.2,95.0,6.0,Low,22,Thursday,0,0,17.4,19.0,0.944,0.203,165.48,63.0,0
10033,Mumbai,Industrial,7.4,29.6,359.0,52.0,1.9,Light Rain,0.39,40.7,33.9,7.1,Low,12,Saturday,1,1,9.9,20.7,0.492,0.027,177.78,46.0,1
10034,Jaipur,Airport,9.4,49.4,286.0,62.0,1.22,Clear,0.13,35.0,47.8,14.9,Medium,5,Thursday,0,0,20.4,26.4,0.748,0.252,138.56,51.0,1
10035,Jaipur,South,8.3,37.6,134.0,64.0,1.03,Cloudy,0.14,25.4,63.4,1.9,Medium,6,Sunday,1,1,6.3,34.2,0.943,0.025,95.4,43.0,1
10036,Pune,West,4.8,18.2,378.0,36.0,1.88,Cloudy,0.09,19.6,52.6,5.6,High,19,Friday,0,0,15.5,21.0,0.879,0.176,150.84,0.0,0
10037,Delhi,North,2.9,15.8,737.0,32.0,1.24,Fog,0.05,37.7,39.0,1.9,Medium,1,Wednesday,0,0,13.1,20.9,0.934,0.08,201.82,38.0,0
10038,Mumbai,North,4.3,17.8,259.0,35.0,1.21,Clear,0.0,32.8,80.6,11.4,Medium,23,Wednesday,0,0,10.8,22.8,0.872,0.023,99.33,59.0,1
10039,Chennai,Suburban,5.9,27.8,262.0,53.0,1.2,Heavy Rain,0.72,35.5,47.0,2.9,Very High,16,Sunday,1,0,6.3,17.1,0.779,0.107,121.24,66.0,1
10040,Bangalore,Suburban,7.7,36.0,141.0,45.0,1.12,Cloudy,0.0,37.7,71.4,8.8,High,3,Monday,0,0,10.0,18.9,0.805,0.178,81.42,35.0,0
10041,Mumbai,Industrial,5.5,30.6,100.0,49.0,2.35,Light Rain,0.3,29.0,75.8,27.0,Medium,19,Sunday,1,0,11.7,15.7,0.877,0.217,137.15,28.0,1
10042,Bangalore,Airport,3.6,18.7,204.0,36.0,1.06,Clear,0.0,35.6,38.3,10.5,Very High,16,Thursday,0,0,14.9,20.3,0.94,0.107,83.04,45.0,0
10043,Mumbai,North,6.3,30.3,513.0,52.0,1.21,Clear,0.0,30.1,33.4,17.5,Very High,7,Sunday,1,0,14.6,23.5,0.765,0.156,175.78,71.0,1
10044,Kolkata,Industrial,7.5,23.5,479.0,63.0,1.97,Heavy Rain,0.76,30.6,93.3,19.4,Very High,21,Wednesday,0,0,8.9,27.4,0.928,0.024,229.49,82.0,1
10045,Delhi,Airport,5.6,20.5,237.0,43.0,1.17,Clear,0.01,42.3,81.1,8.1,Medium,1,Thursday,0,1,12.5,22.1,0.806,0.068,102.45,41.0,0
10046,Hyderabad,West,2.7,14.8,303.0,30.0,1.22,Heavy Rain,0.85,30.4,54.7,3.2,Very High,3,Thursday,0,0,9.8,19.3,0.987,0.146,103.26,93.0,1
10047,Delhi,West,4.0,20.5,133.0,40.0,1.36,Cloudy,0.03,22.7,77.1,27.0,Low,22,Monday,0,0,10.2,25.1,0.551,0.149,83.66,40.0,1
10048,Bangalore,East,7.9,38.9,259.0,67.0,1.08,Light Rain,0.38,23.4,78.4,12.5,Low,8,Monday,0,0,9.3,15.0,0.741,0.029,129.34,5.0,0
10049,Bangalore,South,2.0,14.1,188.0,30.0,1.13,Clear,0.14,36.4,81.0,11.4,High,6,Saturday,1,0,15.3,21.2,0.764,0.308,75.26,31.0,1
10050,Mumbai,Suburban,1.3,10.0,251.0,27.0,1.19,Light Rain,0.41,31.0,82.9,7.1,Medium,17,Tuesday,0,0,14.7,24.5,0.785,0.057,87.35,9.0,0
10051,Jaipur,South,11.1,36.2,213.0,74.0,1.56,Fog,0.16,29.4,60.2,9.5,High,13,Tuesday,0,0,10.8,22.9,0.944,0.148,162.3,44.0,1
10052,Chennai,Suburban,6.1,24.7,211.0,45.0,1.05,Clear,0.14,31.8,52.6,1.1,High,0,Monday,0,0,6.4,16.0,0.923,0.085,93.67,31.0,1
10053,Kolkata,East,6.4,26.0,403.0,52.0,1.05,Heavy Rain,0.82,29.8,54.6,27.7,Low,9,Monday,0,0,21.6,21.5,0.782,0.046,143.26,61.0,1
10054,Kolkata,North,2.3,14.5,653.0,28.0,1.08,Cloudy,0.13,35.2,59.8,13.5,Medium,6,Wednesday,0,0,16.8,8.0,0.897,0.074,173.9,4.0,0
10055,Hyderabad,Industrial,7.0,25.8,225.0,51.0,1.12,Clear,0.13,27.0,50.2,7.5,Low,17,Friday,0,0,13.2,22.9,0.933,0.134,106.62,25.0,0
10056,Kolkata,Airport,5.3,30.0,497.0,45.0,1.03,Heavy Rain,0.75,34.9,42.8,5.7,Medium,18,Tuesday,0,0,19.3,14.9,0.904,0.395,155.69,58.0,1
10057,Mumbai,South,1.7,17.2,132.0,30.0,1.6,Clear,0.0,34.1,79.1,4.7,Low,12,Monday,0,0,10.0,15.2,0.965,0.05,77.04,0.0,0
10058,Mumbai,Suburban,10.5,40.7,234.0,80.0,2.46,Fog,0.17,32.2,87.4,14.0,Very High,14,Sunday,1,0,7.4,22.4,0.94,0.03,248.28,72.0,1
10059,Mumbai,South,4.9,26.2,128.0,36.0,1.76,Cloudy,0.12,26.6,86.9,7.3,Low,19,Saturday,1,1,20.2,26.3,0.805,0.077,91.52,55.0,1
10060,Delhi,North,3.5,22.6,209.0,37.0,1.25,Light Rain,0.37,36.9,49.4,1.6,High,6,Friday,0,0,12.8,15.2,0.815,0.077,92.23,42.0,0
10061,Bangalore,Airport,3.6,14.3,350.0,39.0,1.13,Light Rain,0.41,37.9,38.4,3.5,Low,1,Tuesday,0,0,15.0,16.2,0.703,0.16,121.07,50.0,1
10062,Delhi,Central,1.3,13.0,428.0,26.0,1.93,Cloudy,0.13,19.9,60.2,5.3,Very High,19,Thursday,0,0,19.3,23.3,0.935,0.026,144.34,17.0,0
10063,Pune,Suburban,6.4,23.1,166.0,41.0,2.05,Heavy Rain,0.76,32.2,44.4,10.2,Medium,19,Friday,0,0,17.1,21.2,0.835,0.055,120.57,62.0,1
10064,Delhi,Industrial,5.2,29.8,308.0,39.0,2.34,Cloudy,0.06,24.5,59.8,8.1,Very High,19,Sunday,1,1,5.9,20.7,0.817,0.22,159.02,53.0,1
10065,Delhi,Central,4.0,20.1,453.0,36.0,1.05,Fog,0.18,29.4,67.6,5.5,Medium,6,Thursday,0,0,5.0,26.3,0.807,0.099,137.46,13.0,0
10066,Bangalore,East,9.7,37.3,422.0,68.0,1.16,Cloudy,0.06,30.5,83.5,1.3,Medium,5,Tuesday,0,0,7.1,17.4,0.927,0.219,171.72,32.0,1
10067,Mumbai,Airport,2.0,11.7,279.0,26.0,1.28,Clear,0.11,33.1,81.5,6.4,Medium,17,Saturday,1,0,21.7,19.2,0.859,0.18,94.66,10.0,0
10068,Pune,West,3.1,21.4,182.0,34.0,2.22,Cloudy,0.12,30.5,31.1,4.6,Low,13,Wednesday,0,0,5.5,18.0,0.722,0.31,115.52,0.0,0
10069,Mumbai,South,2.7,9.0,173.0,29.0,1.21,Heavy Rain,0.71,28.5,35.0,2.5,Low,10,Wednesday,0,1,12.8,18.2,0.569,0.21,73.15,39.0,0
10070,Jaipur,Suburban,3.8,14.1,161.0,36.0,1.15,Clear,0.15,32.7,93.2,7.4,Medium,10,Wednesday,0,0,12.7,16.7,0.792,0.215,76.82,31.0,1
10071,Chennai,Industrial,4.7,22.7,241.0,40.0,1.08,Light Rain,0.42,22.8,50.5,8.9,Low,9,Tuesday,0,0,13.5,24.9,0.85,0.037,96.22,7.0,1
10072,Mumbai,South,5.8,19.7,162.0,45.0,1.12,Cloudy,0.1,29.1,87.2,15.2,Low,1,Friday,0,0,36.5,21.2,0.878,0.012,86.04,33.0,0
10073,Mumbai,East,3.6,20.5,343.0,38.0,1.3,Clear,0.03,29.5,43.2,2.6,High,2,Sunday,1,0,8.6,20.1,0.709,0.215,124.86,55.0,0
10074,Pune,East,2.6,12.4,274.0,28.0,1.26,Fog,0.03,25.6,85.6,3.3,Low,9,Saturday,1,0,15.3,25.8,0.856,0.035,95.56,11.0,1
10075,Chennai,South,12.3,60.3,268.0,67.0,1.15,Cloudy,0.02,20.0,34.2,17.1,Very High,0,Wednesday,0,0,5.5,27.8,0.834,0.153,136.01,58.0,1
10076,Chennai,Suburban,19.0,89.2,100.0,114.0,1.26,Heavy Rain,0.67,31.6,40.0,7.0,High,15,Monday,0,0,19.0,25.1,0.779,0.039,165.64,103.0,0
10077,Chennai,Industrial,4.9,27.0,248.0,49.0,1.44,Cloudy,0.12,25.3,82.7,9.0,Medium,13,Friday,0,0,21.7,20.7,0.819,0.023,125.12,48.0,0
10078,Mumbai,Airport,2.8,14.6,195.0,34.0,1.12,Clear,0.1,23.5,87.1,19.3,Medium,8,Monday,0,0,12.7,27.5,0.818,0.076,80.98,25.0,1
10079,Delhi,North,10.9,59.9,723.0,82.0,1.15,Fog,0.05,39.8,62.4,4.3,High,6,Friday,0,0,17.2,15.8,0.75,0.085,253.36,27.0,1
10080,Mumbai,Airport,1.9,11.7,129.0,31.0,1.3,Clear,0.0,26.2,42.5,2.6,High,22,Thursday,0,0,12.8,25.1,0.884,0.119,68.68,42.0,1
10081,Kolkata,North,3.7,16.7,221.0,41.0,1.0,Cloudy,0.0,26.2,76.6,7.1,Very High,6,Friday,0,1,14.7,19.8,0.799,0.058,89.62,19.0,1
10082,Hyderabad,Industrial,3.0,20.2,296.0,38.0,1.1,Clear,0.03,37.1,37.6,7.7,High,0,Thursday,0,0,12.0,12.1,0.795,0.199,106.92,39.0,0
10083,Delhi,West,2.2,12.1,150.0,32.0,2.12,Clear,0.05,24.9,73.3,10.7,Low,19,Monday,0,1,11.4,19.6,0.68,0.026,100.84,31.0,1
10084,Mumbai,Airport,3.8,22.5,642.0,42.0,1.96,Clear,0.0,27.5,71.0,14.0,Very High,21,Saturday,1,0,22.1,25.8,0.774,0.121,223.56,26.0,1
10085,Delhi,Industrial,2.7,12.3,648.0,32.0,1.38,Heavy Rain,0.67,23.4,60.6,10.9,High,13,Tuesday,0,0,8.3,22.7,0.762,0.201,186.72,53.0,0
10086,Delhi,South,4.5,24.4,159.0,38.0,1.12,Clear,0.02,34.0,70.2,21.4,Low,7,Wednesday,0,0,7.1,25.0,0.837,0.082,77.54,12.0,0
10087,Chennai,South,4.6,26.0,182.0,48.0,1.03,Cloudy,0.08,28.7,73.6,28.8,Medium,2,Sunday,1,0,6.6,16.2,0.631,0.53,89.48,28.0,1
10088,Hyderabad,Suburban,3.1,15.9,716.0,30.0,1.01,Cloudy,0.09,30.5,67.0,6.3,High,5,Sunday,1,0,11.8,22.2,0.888,0.198,187.82,44.0,1
10089,Kolkata,South,3.6,14.8,492.0,41.0,2.44,Fog,0.14,29.5,35.8,4.9,High,14,Wednesday,0,0,7.3,23.8,0.713,0.202,208.28,33.0,0
10090,Bangalore,Suburban,3.9,18.1,203.0,37.0,1.73,Heavy Rain,0.75,21.3,34.4,11.4,High,19,Monday,0,0,21.6,22.9,0.895,0.088,108.67,53.0,0
10091,Mumbai,Industrial,7.3,37.1,304.0,42.0,1.77,Light Rain,0.44,26.6,94.1,8.8,Medium,14,Sunday,1,0,10.1,15.1,0.881,0.047,141.22,42.0,0
10092,Chennai,South,4.1,24.8,122.0,42.0,1.11,Fog,0.15,32.7,83.2,7.1,Medium,7,Wednesday,0,0,12.6,15.5,0.877,0.144,73.46,27.0,1
10093,Chennai,East,7.4,40.3,734.0,52.0,1.14,Cloudy,0.05,33.0,54.8,60.0,High,18,Friday,0,1,12.6,27.1,0.817,0.014,220.76,42.0,1
10094,Hyderabad,Central,6.4,26.3,254.0,55.0,1.2,Heavy Rain,0.74,22.2,79.6,14.6,Medium,4,Friday,0,0,7.6,23.0,0.957,0.193,121.88,63.0,0
10095,Chennai,Industrial,6.3,35.8,328.0,40.0,1.52,Fog,0.11,31.5,30.0,3.8,Medium,12,Monday,0,0,13.4,21.8,0.721,0.027,132.96,51.0,1
10096,Bangalore,South,10.3,44.2,153.0,81.0,1.16,Heavy Rain,0.72,37.8,62.3,15.4,Medium,1,Friday,0,1,27.6,24.4,0.839,0.274,127.62,113.0,1
10097,Bangalore,Central,2.3,12.9,139.0,32.0,2.18,Cloudy,0.13,31.3,30.0,4.9,Medium,11,Thursday,0,0,8.9,17.7,0.966,0.244,100.34,5.0,1
10098,Bangalore,North,3.4,12.6,307.0,31.0,1.23,Heavy Rain,0.75,30.3,59.8,17.4,High,15,Friday,0,0,20.1,15.3,0.861,0.035,105.67,58.0,0
10099,Mumbai,West,12.9,70.8,638.0,59.0,1.1,Cloudy,0.08,28.8,77.9,9.2,Low,6,Saturday,1,0,6.8,21.1,0.906,0.166,205.26,31.0,1
10100,Mumbai,Airport,3.8,17.6,187.0,38.0,1.05,Clear,0.0,38.6,65.1,3.9,Low,8,Saturday,1,0,17.6,27.1,0.848,0.141,81.04,29.0,1
10101,Mumbai,Airport,1.0,8.9,150.0,26.0,1.75,Clear,0.0,28.2,50.5,1.1,Low,20,Wednesday,0,0,20.8,23.7,0.682,0.121,78.5,0.0,0
10102,Hyderabad,Industrial,4.0,13.5,285.0,38.0,1.4,Light Rain,0.44,37.8,80.8,15.8,Very High,11,Sunday,1,0,7.3,15.6,0.743,0.088,115.9,61.0,1
10103,Delhi,North,4.9,22.8,555.0,40.0,2.13,Clear,0.0,33.8,79.2,12.6,High,14,Sunday,1,0,14.1,17.4,0.918,0.158,207.3,12.0,0
10104,Bangalore,South,1.0,10.1,178.0,26.0,2.34,Clear,0.02,35.1,82.7,4.1,Very High,12,Tuesday,0,0,6.5,25.8,0.774,0.357,100.0,22.0,1
10105,Kolkata,Airport,10.0,45.7,216.0,80.0,1.14,Cloudy,0.05,26.9,68.6,9.3,Medium,1,Thursday,0,0,11.3,22.3,0.684,0.133,138.72,65.0,1
10106,Delhi,Suburban,2.9,13.8,372.0,36.0,1.13,Clear,0.02,27.1,77.8,7.6,Medium,7,Tuesday,0,0,7.6,19.3,0.8,0.079,122.52,34.0,0
10107,Bangalore,North,5.5,28.6,392.0,48.0,1.04,Clear,0.02,31.9,83.6,5.6,Medium,18,Wednesday,0,0,15.7,34.1,0.734,0.081,136.16,12.0,1
10108,Chennai,East,3.9,19.3,212.0,32.0,1.11,Light Rain,0.45,38.7,56.4,10.8,High,9,Wednesday,0,0,13.7,23.4,0.875,0.041,82.16,46.0,0
10109,Delhi,Central,2.1,17.6,423.0,28.0,1.24,Light Rain,0.37,17.5,61.5,32.2,High,4,Thursday,0,0,11.8,15.4,0.976,0.097,127.78,64.0,0
10110,Mumbai,Suburban,2.4,16.9,319.0,34.0,1.15,Fog,0.1,24.8,70.7,37.4,Very High,18,Monday,0,0,9.0,24.7,0.894,0.086,109.28,29.0,0
10111,Delhi,Airport,2.6,16.1,247.0,31.0,1.83,Heavy Rain,0.73,25.8,61.6,9.3,High,20,Friday,0,0,8.0,21.7,0.652,0.113,111.07,57.0,1
10112,Mumbai,Suburban,8.6,28.3,384.0,54.0,1.4,Clear,0.11,39.4,37.2,5.7,Medium,20,Saturday,1,0,6.7,32.0,0.887,0.062,160.08,12.0,0
10113,Kolkata,South,4.1,23.0,359.0,39.0,1.22,Cloudy,0.09,28.5,94.7,4.0,Medium,0,Sunday,1,0,13.1,20.8,0.966,0.095,126.56,8.0,0
10114,Pune,East,3.3,20.1,145.0,34.0,1.16,Cloudy,0.08,34.6,87.7,5.6,High,7,Monday,0,0,13.2,18.5,0.436,0.499,71.34,43.0,1
10115,Hyderabad,Central,2.6,14.5,514.0,34.0,1.48,Cloudy,0.0,28.9,83.4,5.7,High,13,Monday,0,0,12.1,28.3,0.797,0.005,163.4,23.0,1
10116,Kolkata,East,9.2,34.7,291.0,50.0,2.47,Storm,0.87,29.5,88.9,7.6,Low,22,Saturday,1,0,14.5,27.6,0.817,0.097,187.52,98.0,0
10117,Pune,North,10.8,40.6,487.0,74.0,1.22,Clear,0.05,27.5,46.2,9.9,Low,7,Sunday,1,0,18.3,25.2,0.704,0.018,197.42,56.0,0
10118,Mumbai,South,9.1,25.9,251.0,66.0,1.19,Light Rain,0.41,27.2,81.3,7.5,Low,2,Monday,0,0,8.0,32.7,0.718,0.11,133.76,51.0,0
10119,Kolkata,Suburban,6.0,30.4,277.0,54.0,1.88,Light Rain,0.26,25.9,47.6,6.3,Medium,22,Wednesday,0,0,14.2,30.7,0.664,0.01,162.46,60.0,0
10120,Bangalore,Suburban,5.3,30.7,299.0,43.0,1.7,Fog,0.18,32.0,87.6,4.3,Medium,13,Thursday,0,0,18.3,19.1,0.845,0.068,138.88,30.0,1
10121,Pune,North,2.2,11.2,322.0,29.0,1.05,Fog,0.17,23.8,40.6,3.5,Medium,6,Wednesday,0,0,18.8,23.8,0.848,0.164,101.29,25.0,1
10122,Kolkata,Suburban,3.9,20.7,525.0,39.0,1.14,Fog,0.04,36.9,90.8,5.9,High,1,Monday,0,0,6.3,20.1,0.805,0.139,159.96,25.0,1
10123,Delhi,West,3.0,12.1,309.0,36.0,1.09,Storm,0.93,38.1,59.5,3.8,Low,18,Wednesday,0,0,16.9,17.5,0.818,0.318,107.22,56.0,1
10124,Mumbai,South,1.5,11.8,241.0,25.0,1.26,Clear,0.0,30.3,50.8,6.5,Medium,5,Saturday,1,0,16.9,22.2,0.822,0.189,84.52,11.0,0
10125,Delhi,North,8.5,35.4,405.0,50.0,1.08,Cloudy,0.0,23.0,89.5,10.1,Very High,3,Wednesday,0,1,12.7,24.9,0.878,0.086,143.1,65.0,1
10126,Bangalore,South,3.0,24.3,303.0,31.0,1.3,Clear,0.03,28.8,83.0,8.5,High,19,Saturday,1,0,10.1,27.0,0.82,0.14,106.96,28.0,1
10127,Pune,Central,9.2,49.9,1073.0,54.0,1.16,Heavy Rain,0.72,28.1,76.4,9.5,Medium,0,Monday,0,0,8.2,20.1,0.832,0.119,298.7,77.0,1
10128,Kolkata,South,7.6,33.0,283.0,60.0,1.19,Cloudy,0.11,24.0,62.1,7.1,Low,23,Friday,0,0,11.5,19.0,0.869,0.002,133.66,61.0,1
10129,Mumbai,South,6.3,27.2,454.0,49.0,1.19,Light Rain,0.3,32.3,50.9,5.2,Very High,17,Thursday,0,0,19.7,21.2,0.841,0.267,158.19,46.0,0
10130,Bangalore,Central,6.5,33.8,380.0,50.0,1.19,Clear,0.11,23.8,40.0,7.7,Very High,5,Friday,0,0,19.2,16.4,0.934,0.06,143.1,62.0,0
10131,Bangalore,North,3.1,15.6,100.0,29.0,1.11,Clear,0.01,39.6,93.0,15.3,Medium,9,Thursday,0,0,15.3,23.5,0.791,0.017,54.19,26.0,0
10132,Delhi,South,13.7,62.4,169.0,102.0,1.77,Clear,0.06,34.3,60.2,14.1,Medium,14,Tuesday,0,0,14.9,22.0,0.909,0.096,217.72,40.0,1
10133,Mumbai,East,4.6,28.2,196.0,45.0,1.02,Light Rain,0.42,20.1,85.9,16.7,Low,16,Friday,0,0,15.1,17.3,0.776,0.212,89.02,33.0,1
10134,Delhi,South,5.4,19.9,116.0,43.0,1.16,Cloudy,0.0,37.3,61.5,5.8,Very High,0,Thursday,0,0,6.0,25.2,0.891,0.127,75.4,43.0,0
10135,Jaipur,North,3.0,17.1,201.0,30.0,2.13,Light Rain,0.32,36.2,66.2,5.7,Very High,14,Tuesday,0,0,8.5,18.8,0.787,0.324,108.12,56.0,1
10136,Delhi,Industrial,2.6,14.2,123.0,33.0,1.22,Cloudy,0.09,31.6,60.4,11.0,High,1,Monday,0,0,15.0,23.1,0.602,0.283,67.32,47.0,1
10137,Bangalore,Suburban,6.0,27.8,141.0,48.0,2.01,Clear,0.0,31.0,91.8,9.4,Medium,21,Wednesday,0,0,13.5,20.5,0.801,0.139,127.5,35.0,1
10138,Chennai,Airport,5.1,28.6,276.0,46.0,1.19,Clear,0.0,32.4,43.2,9.8,High,3,Thursday,0,0,14.6,26.9,0.815,0.221,115.46,53.0,1
10139,Delhi,Central,2.8,12.3,639.0,34.0,1.1,Fog,0.2,28.6,32.6,2.2,Medium,7,Wednesday,0,0,9.3,25.6,0.911,0.005,177.98,0.0,0
10140,Jaipur,Suburban,1.9,10.9,124.0,27.0,1.12,Light Rain,0.32,33.7,67.8,3.1,Medium,6,Friday,0,0,9.7,20.1,0.882,0.012,57.52,28.0,0
10141,Jaipur,North,2.1,11.1,133.0,28.0,1.14,Light Rain,0.43,22.4,48.7,7.1,High,3,Wednesday,0,1,13.5,16.1,0.756,0.249,61.18,49.0,0
10142,Delhi,West,9.2,41.6,187.0,48.0,1.76,Light Rain,0.29,17.5,51.3,9.4,High,12,Friday,0,0,11.8,21.2,0.669,0.246,125.62,83.0,1
10143,Bangalore,Airport,3.1,10.3,227.0,38.0,2.18,Cloudy,0.06,35.0,91.4,13.2,Very High,19,Monday,0,0,11.5,17.0,0.826,0.07,132.78,37.0,1
10144,Delhi,Suburban,3.7,17.3,113.0,40.0,1.02,Clear,0.12,31.2,89.2,2.5,High,15,Wednesday,0,0,10.3,16.4,0.809,0.05,65.66,27.0,1
10145,Delhi,South,10.7,41.5,173.0,82.0,2.01,Fog,0.01,28.6,34.7,9.1,Medium,20,Saturday,1,0,13.3,24.1,0.771,0.193,202.88,20.0,0
10146,Mumbai,Airport,2.3,19.2,165.0,27.0,2.28,Fog,0.15,36.6,94.1,14.1,Low,14,Saturday,1,0,13.3,25.0,0.823,0.035,97.86,22.0,0
