order_id,city,zone,distance_km,estimated_time_min,order_value,base_delivery_fee,surge_multiplier,weather,rain_intensity,temperature,humidity,wind_speed,traffic_level,hour_of_day,day_of_week,is_weekend,festival_flag,restaurant_prep_time,historical_rider_speed,historical_acceptance_rate_zone,historical_cancel_rate_zone,delivery_revenue
10036,Jaipur,West,3.3,16.7,346.0,37.0,1.12,Fog,0.14,25.6,47.7,52.9,Medium,3,Monday,0,1,13.5,19.0,0.73,0.087,117.56
10037,Delhi,Suburban,1.7,12.3,159.0,30.0,1.34,Cloudy,0.0,26.8,86.9,8.5,Medium,19,Sunday,1,0,16.3,21.0,0.853,0.096,75.18
10038,Kolkata,East,3.3,14.8,242.0,35.0,1.07,Cloudy,0.07,29.5,41.0,12.1,High,18,Tuesday,0,0,13.7,18.9,0.914,0.065,90.69
10039,Pune,Central,3.3,14.4,311.0,39.0,2.04,Fog,0.1,32.9,92.5,7.8,Medium,19,Thursday,0,0,19.5,8.0,0.645,0.198,147.98
10040,Chennai,Airport,4.9,21.8,100.0,42.0,1.23,Cloudy,0.05,38.6,72.0,9.5,Very High,17,Sunday,1,0,11.7,21.6,0.724,0.073,73.66
10041,Bangalore,North,13.1,45.0,546.0,94.0,1.22,Fog,0.16,36.2,93.6,8.1,Medium,23,Friday,0,0,28.9,24.3,0.789,0.157,234.8
10042,Delhi,Suburban,2.6,12.4,247.0,34.0,1.19,Clear,0.0,25.2,88.9,15.5,High,16,Saturday,1,0,11.3,27.6,0.77,0.056,94.8
10043,Delhi,East,7.2,34.4,227.0,61.0,1.06,Light Rain,0.35,27.8,57.9,10.6,Low,16,Friday,0,0,10.4,17.0,0.872,0.079,114.6
10044,Delhi,Airport,5.2,16.1,209.0,48.0,2.29,Clear,0.14,31.9,46.6,14.6,High,11,Sunday,1,0,15.1,18.5,0.712,0.028,155.9
10045,Jaipur,Central,1.2,7.6,165.0,27.0,1.15,Light Rain,0.37,30.0,75.5,20.1,Medium,5,Thursday,0,1,7.6,20.9,0.894,0.205,67.35
10046,Hyderabad,Central,1.8,10.3,356.0,26.0,1.25,Fog,0.01,37.5,94.9,4.0,High,4,Thursday,0,0,22.7,15.2,0.782,0.099,110.82
10047,Chennai,North,3.3,13.1,138.0,35.0,1.24,Cloudy,0.08,27.8,82.6,10.8,Medium,9,Sunday,1,0,16.4,24.4,0.592,0.097,73.76
10048,Hyderabad,Industrial,12.5,40.4,247.0,69.0,1.15,Clear,0.0,31.9,73.6,2.7,Low,0,Monday,0,0,24.6,18.3,0.959,0.229,133.69
10049,Hyderabad,Suburban,3.1,14.9,294.0,33.0,1.16,Fog,0.13,31.2,90.9,12.4,Low,4,Friday,0,0,11.6,17.3,0.882,0.249,102.96
10050,Mumbai,North,6.6,33.2,284.0,55.0,1.03,Heavy Rain,0.83,30.8,34.6,3.2,High,1,Tuesday,0,0,5.5,18.4,0.968,0.021,119.13
10051,Hyderabad,West,4.1,20.1,730.0,36.0,1.06,Clear,0.02,27.5,49.4,6.6,High,7,Wednesday,0,0,17.3,26.2,0.816,0.048,198.76
10052,Bangalore,Suburban,2.6,16.0,178.0,35.0,1.28,Storm,0.97,29.5,62.7,7.4,Low,15,Sunday,1,0,25.6,19.0,0.884,0.187,83.96
10053,Delhi,West,3.4,13.2,175.0,31.0,2.02,Cloudy,0.1,32.8,57.4,2.7,Very High,19,Friday,0,0,9.4,25.2,0.94,0.084,101.12
10054,Delhi,Suburban,4.2,23.0,224.0,43.0,1.07,Cloudy,0.01,40.6,35.5,5.6,Medium,3,Monday,0,0,12.3,21.9,0.815,0.023,95.29
10055,Pune,South,4.3,28.9,201.0,34.0,1.21,Cloudy,0.0,26.5,82.3,15.5,Low,8,Monday,0,0,14.2,23.4,0.917,0.126,85.36
10056,Chennai,East,3.4,20.3,190.0,38.0,2.42,Heavy Rain,0.79,25.8,46.7,6.1,Medium,21,Sunday,1,0,10.2,17.2,0.731,0.309,133.76
10057,Pune,Industrial,5.7,32.3,255.0,38.0,1.37,Heavy Rain,0.72,32.5,72.4,4.5,Medium,11,Tuesday,0,0,15.0,29.9,0.831,0.086,108.16
10058,Pune,East,5.6,29.1,206.0,51.0,1.24,Heavy Rain,0.67,32.8,43.9,2.7,Medium,1,Friday,0,0,12.4,22.0,0.9,0.105,108.56
10059,Kolkata,Suburban,6.8,33.7,232.0,53.0,2.23,Cloudy,0.03,26.1,94.7,13.9,Very High,20,Saturday,1,0,8.9,16.3,0.695,0.07,169.23
10060,Delhi,Industrial,4.0,14.1,125.0,35.0,1.19,Clear,0.06,30.2,52.2,11.5,Medium,8,Friday,0,0,11.3,24.6,0.831,0.134,69.15
10061,Delhi,Central,4.0,23.0,396.0,32.0,2.39,Fog,0.08,33.4,90.8,4.9,Medium,20,Tuesday,0,0,9.7,12.4,0.726,0.049,163.6
10062,Mumbai,West,2.5,18.4,304.0,28.0,2.29,Clear,0.01,31.2,35.3,32.2,Medium,14,Wednesday,0,0,15.8,15.7,0.864,0.131,131.0
10063,Mumbai,Industrial,5.2,17.3,100.0,46.0,1.16,Clear,0.08,31.9,52.1,2.3,Medium,0,Thursday,0,0,12.8,23.0,0.892,0.021,75.36
10064,Bangalore,West,1.6,11.0,385.0,25.0,1.0,Fog,0.1,23.3,91.9,8.4,High,3,Sunday,1,0,12.8,20.2,0.887,0.146,109.7
10065,Delhi,East,6.1,34.1,100.0,52.0,1.21,Cloudy,0.0,37.0,42.9,12.0,High,7,Thursday,0,0,19.8,23.9,0.939,0.199,84.92
10066,Chennai,East,3.6,21.6,297.0,36.0,2.22,Heavy Rain,0.67,37.5,41.2,11.4,Low,19,Saturday,1,0,11.2,18.0,0.764,0.334,145.26
10067,Bangalore,North,5.7,23.9,316.0,41.0,2.19,Clear,0.05,35.2,77.7,2.5,High,14,Sunday,1,0,8.8,22.0,0.862,0.046,159.31
10068,Mumbai,Central,2.6,15.1,249.0,32.0,1.25,Fog,0.17,25.4,48.5,22.2,High,2,Wednesday,0,0,13.7,17.0,0.846,0.189,94.78
10069,Pune,South,1.6,7.9,496.0,29.0,1.17,Cloudy,0.0,27.6,85.9,12.7,High,1,Saturday,1,0,9.1,23.5,0.896,0.27,143.05
10070,Delhi,West,5.2,19.3,412.0,36.0,2.49,Clear,0.08,28.0,37.0,4.7,Very High,13,Monday,0,0,9.6,20.6,0.735,0.382,180.28
10071,Delhi,South,5.0,21.8,401.0,39.0,1.19,Storm,0.89,30.0,53.4,7.0,High,4,Friday,0,0,11.9,23.2,0.849,0.024,134.63
10072,Pune,Airport,4.0,15.9,265.0,38.0,1.24,Clear,0.13,23.9,86.1,32.7,Medium,6,Friday,0,0,9.2,24.5,0.872,0.265,105.42
10073,Hyderabad,East,4.0,16.6,234.0,39.0,1.02,Cloudy,0.09,29.1,59.2,4.0,High,18,Monday,0,0,23.5,16.9,0.973,0.311,91.26
10074,Chennai,Industrial,2.5,14.2,331.0,28.0,1.03,Cloudy,0.0,22.1,76.2,8.5,Very High,1,Monday,0,0,8.5,27.7,0.755,0.157,101.66
10075,Bangalore,West,9.3,50.3,266.0,64.0,2.39,Storm,0.89,34.5,87.3,8.5,Medium,12,Tuesday,0,0,8.4,21.3,0.872,0.054,211.48
10076,Delhi,Suburban,2.7,14.1,490.0,30.0,1.18,Heavy Rain,0.74,24.6,30.2,8.7,Medium,3,Sunday,1,0,10.2,21.1,0.822,0.114,143.2
10077,Bangalore,East,6.3,29.1,553.0,55.0,2.49,Heavy Rain,0.81,30.2,72.8,8.4,Medium,14,Wednesday,0,0,15.5,22.7,0.789,0.101,258.61
10078,Bangalore,Industrial,2.7,14.7,188.0,32.0,1.01,Cloudy,0.0,23.5,81.9,2.3,Very High,23,Tuesday,0,0,18.7,22.7,0.828,0.028,73.68
10079,Pune,West,5.6,24.9,282.0,50.0,1.26,Cloudy,0.0,27.1,53.7,10.2,Low,7,Saturday,1,0,8.2,26.5,0.942,0.066,125.04
10080,Hyderabad,Central,4.5,25.3,564.0,37.0,1.01,Light Rain,0.27,20.2,91.5,4.8,Very High,0,Thursday,0,0,17.2,20.3,0.814,0.142,161.45
10081,Jaipur,North,5.3,14.6,127.0,41.0,1.26,Cloudy,0.08,31.6,81.2,4.9,High,3,Wednesday,0,0,5.0,34.3,0.645,0.105,79.6
10082,Hyderabad,Central,5.9,30.9,268.0,44.0,1.08,Clear,0.11,10.0,81.4,12.0,High,8,Sunday,1,1,19.5,16.0,0.571,0.103,106.48
10083,Hyderabad,North,7.7,36.5,234.0,43.0,1.06,Light Rain,0.43,30.4,50.7,2.5,Medium,7,Tuesday,0,0,12.5,20.7,0.688,0.483,97.06
10084,Chennai,South,9.7,33.2,170.0,69.0,1.02,Fog,0.04,33.9,31.6,14.3,Very High,0,Saturday,1,0,7.0,16.7,0.704,0.155,107.78
10085,Hyderabad,Central,9.2,40.8,169.0,59.0,1.58,Fog,0.11,27.6,66.6,3.3,High,21,Saturday,1,0,12.3,12.4,0.906,0.07,130.4
10086,Pune,South,8.7,42.1,256.0,60.0,1.34,Clear,0.0,23.7,65.3,3.8,Low,12,Tuesday,0,0,10.6,18.3,0.77,0.09,136.72
10087,Kolkata,West,7.5,38.4,206.0,48.0,2.09,Fog,0.13,26.9,71.2,2.8,Low,11,Friday,0,0,11.4,19.3,0.881,0.152,145.64
10088,Jaipur,West,9.0,32.9,331.0,57.0,1.22,Storm,0.87,33.6,57.1,8.3,Medium,23,Friday,0,0,26.5,25.0,0.685,0.11,142.36
10089,Pune,Airport,5.2,22.6,371.0,48.0,1.06,Cloudy,0.09,29.7,78.2,4.1,Medium,5,Sunday,1,0,9.6,25.4,0.94,0.198,132.5
10090,Chennai,North,5.0,32.0,136.0,50.0,1.06,Clear,0.14,27.5,48.8,34.3,Medium,9,Sunday,1,0,5.0,23.0,0.991,0.163,82.92
10091,Bangalore,South,4.0,22.9,164.0,35.0,1.62,Clear,0.07,22.8,79.7,4.4,Low,20,Sunday,1,0,12.5,28.2,0.766,0.081,92.78
10092,Delhi,Industrial,2.6,11.4,200.0,35.0,1.16,Heavy Rain,0.82,29.7,83.0,6.3,Medium,16,Wednesday,0,0,22.1,17.0,0.895,0.204,84.6
10093,Delhi,West,7.0,29.1,180.0,55.0,1.34,Cloudy,0.01,30.6,46.0,14.9,Low,20,Thursday,0,0,7.3,26.4,0.789,0.024,113.3
10094,Hyderabad,East,8.1,25.7,147.0,56.0,1.19,Clear,0.0,31.8,74.6,3.4,Low,18,Saturday,1,1,14.7,18.1,0.748,0.204,98.98
10095,Delhi,Industrial,3.5,22.0,218.0,32.0,1.06,Light Rain,0.44,31.7,59.8,9.7,Low,4,Saturday,1,0,22.4,18.0,0.924,0.064,81.88
10096,Delhi,East,5.8,25.6,307.0,49.0,2.13,Clear,0.01,26.1,88.5,1.9,High,21,Tuesday,0,1,10.1,16.5,0.789,0.067,171.91
10097,Bangalore,Airport,4.8,28.8,103.0,46.0,2.3,Heavy Rain,0.73,36.0,70.7,15.0,Very High,21,Tuesday,0,1,24.9,24.9,0.851,0.084,128.46
10098,Hyderabad,North,2.6,13.3,232.0,31.0,1.06,Light Rain,0.41,26.5,90.4,3.8,Medium,3,Thursday,0,0,13.1,13.4,0.908,0.031,83.9
10099,Kolkata,Central,6.8,27.5,331.0,43.0,1.14,Fog,0.13,29.8,53.7,2.7,Low,0,Friday,0,0,5.2,28.8,0.762,0.039,121.84
10100,Kolkata,Industrial,3.3,21.4,367.0,31.0,1.6,Light Rain,0.27,32.3,86.4,4.8,Very High,22,Monday,0,0,21.1,25.3,0.523,0.129,130.34
10101,Bangalore,Airport,3.7,21.0,418.0,42.0,1.04,Cloudy,0.02,33.9,66.8,6.9,Low,7,Monday,0,0,13.5,24.7,0.655,0.051,135.64
10102,Delhi,Suburban,7.7,41.6,228.0,64.0,1.45,Storm,1.0,35.3,94.8,7.2,Medium,19,Monday,0,0,5.0,22.8,0.668,0.241,142.96
10103,Delhi,North,2.8,13.1,261.0,33.0,1.07,Cloudy,0.01,40.4,39.6,28.9,Very High,5,Tuesday,0,0,16.5,15.7,0.719,0.287,92.73
10104,Pune,North,7.6,37.5,443.0,46.0,1.13,Cloudy,0.1,36.2,46.4,53.5,Medium,9,Monday,0,0,7.6,21.8,0.817,0.078,149.44
10105,Pune,West,4.2,19.2,295.0,37.0,1.65,Light Rain,0.35,23.7,68.0,8.5,Very High,12,Monday,0,0,23.0,27.4,0.882,0.045,125.95
10106,Pune,Suburban,5.2,21.7,274.0,45.0,2.34,Fog,0.06,24.6,70.8,3.8,Very High,19,Wednesday,0,1,15.6,17.4,0.715,0.126,165.58
10107,Delhi,Airport,3.8,20.8,198.0,40.0,2.02,Clear,0.0,21.1,43.5,6.4,Medium,13,Thursday,0,0,19.1,18.4,0.806,0.142,124.36
10108,Delhi,South,3.9,20.3,465.0,33.0,1.0,Cloudy,0.0,28.4,68.3,2.7,Low,7,Sunday,1,0,15.6,19.0,0.578,0.17,135.3
10109,Bangalore,North,3.2,19.2,164.0,36.0,1.22,Clear,0.01,29.3,30.2,4.7,High,21,Thursday,0,0,12.1,18.9,0.556,0.208,80.0
10110,Mumbai,Central,2.1,14.9,157.0,28.0,1.96,Heavy Rain,0.71,33.0,63.3,5.7,Low,12,Sunday,1,1,15.1,19.6,0.845,0.287,89.42
10111,Delhi,North,7.7,28.3,214.0,60.0,1.1,Clear,0.07,32.0,62.1,4.2,Very High,1,Saturday,1,0,28.1,20.7,0.888,0.052,113.08
10112,Mumbai,West,7.4,29.8,131.0,43.0,1.13,Cloudy,0.09,26.1,52.4,5.2,High,7,Friday,0,0,21.2,16.1,0.766,0.145,77.41
10113,Hyderabad,North,4.7,13.6,225.0,41.0,1.14,Storm,0.85,33.1,52.5,1.7,Very High,18,Thursday,0,0,21.1,25.6,0.639,0.12,96.24
10114,Bangalore,Industrial,9.1,37.4,181.0,48.0,1.06,Fog,0.11,33.1,33.6,7.6,High,16,Sunday,1,0,12.8,36.7,0.55,0.038,90.7
10115,Chennai,Industrial,4.1,21.5,103.0,36.0,1.03,Light Rain,0.27,27.8,66.3,5.7,Very High,5,Wednesday,0,0,22.2,26.5,0.791,0.176,59.74
10116,Mumbai,Central,1.7,7.4,198.0,25.0,1.12,Clear,0.0,25.1,90.6,23.6,Very High,15,Sunday,1,0,16.4,15.9,0.844,0.422,71.56
10117,Bangalore,Industrial,1.0,14.1,153.0,24.0,1.23,Cloudy,0.04,44.2,60.5,18.9,Low,0,Wednesday,0,0,8.9,19.5,0.645,0.096,63.18
10118,Kolkata,East,6.8,34.9,288.0,46.0,1.82,Heavy Rain,0.79,38.3,47.1,6.6,Low,13,Friday,0,0,18.4,29.9,0.812,0.139,147.08
10119,Delhi,Airport,1.8,11.2,263.0,29.0,1.19,Light Rain,0.43,32.8,70.6,11.9,High,3,Wednesday,0,0,13.3,22.4,0.907,0.027,92.37
10120,Bangalore,West,7.1,35.3,223.0,60.0,1.11,Clear,0.01,22.8,39.7,10.0,Low,10,Monday,0,1,14.7,18.0,0.967,0.089,115.66
10121,Pune,Central,3.3,13.4,225.0,32.0,2.4,Cloudy,0.07,23.1,92.8,5.2,Medium,19,Tuesday,0,0,13.7,21.7,0.893,0.025,126.3
10122,Bangalore,Airport,2.6,15.0,223.0,35.0,2.2,Clear,0.07,31.3,44.3,26.6,Medium,19,Saturday,1,0,12.4,26.7,0.706,0.245,126.06
10123,Bangalore,West,7.3,27.8,508.0,59.0,1.19,Clear,0.09,33.8,83.8,24.6,Medium,8,Monday,0,0,6.9,24.3,0.807,0.127,181.97
10124,Jaipur,Industrial,3.2,15.3,185.0,32.0,1.17,Light Rain,0.34,20.2,54.2,3.1,High,8,Friday,0,0,13.8,17.4,0.885,0.072,78.14
10125,Kolkata,Airport,10.6,44.7,166.0,62.0,1.09,Light Rain,0.3,28.2,31.6,7.0,Low,6,Wednesday,0,0,13.0,17.1,0.89,0.102,104.1
10126,Delhi,Central,5.3,24.9,354.0,49.0,1.58,Cloudy,0.05,36.4,63.7,8.4,High,13,Friday,0,0,11.7,24.0,0.953,0.349,155.3
10127,Jaipur,East,3.5,13.8,100.0,37.0,1.87,Light Rain,0.29,25.1,67.5,7.2,High,19,Thursday,0,0,11.3,24.5,0.794,0.072,91.19
10128,Bangalore,Industrial,2.6,15.6,266.0,30.0,1.42,Clear,0.13,30.8,80.0,9.9,Low,21,Wednesday,0,0,14.0,20.7,0.974,0.076,101.12
10129,Hyderabad,South,12.9,63.4,338.0,59.0,2.45,Cloudy,0.0,22.9,34.4,3.6,Very High,14,Wednesday,0,0,8.2,16.2,0.756,0.043,218.91
10130,Bangalore,Suburban,2.0,15.0,231.0,30.0,1.06,Clear,0.12,33.9,67.4,3.0,Low,23,Thursday,0,0,9.7,25.5,0.955,0.188,82.62
10131,Mumbai,South,2.8,13.5,209.0,29.0,1.16,Clear,0.04,27.7,51.4,3.2,Low,7,Monday,0,0,14.6,21.9,0.653,0.058,79.62
10132,Mumbai,Suburban,2.7,16.1,885.0,31.0,1.36,Fog,0.16,19.6,42.5,4.2,High,11,Thursday,0,0,16.9,21.0,0.852,0.257,236.86
10133,Delhi,Suburban,7.4,42.1,254.0,62.0,2.07,Cloudy,0.01,25.4,54.4,2.2,Medium,14,Monday,0,0,14.7,24.9,0.982,0.045,184.22
10134,Delhi,East,1.7,14.6,325.0,28.0,1.56,Cloudy,0.03,23.9,61.5,4.2,Very High,20,Thursday,0,0,14.4,21.3,0.822,0.364,115.18
10135,Mumbai,East,3.5,15.9,242.0,40.0,1.4,Light Rain,0.38,29.2,72.7,23.8,Medium,11,Thursday,0,0,20.3,18.2,0.95,0.106,109.24
10136,Chennai,Central,2.4,18.8,207.0,28.0,1.04,Heavy Rain,0.74,30.1,39.7,11.6,High,17,Friday,0,0,16.2,18.7,0.79,0.054,74.66
10137,Bangalore,Airport,3.7,15.8,203.0,37.0,1.11,Cloudy,0.01,33.0,50.6,24.1,Low,0,Thursday,0,0,16.3,26.6,0.957,0.025,85.73
10138,Hyderabad,Airport,6.6,33.4,100.0,54.0,1.29,Cloudy,0.1,39.2,55.2,4.1,High,18,Wednesday,0,0,12.7,11.9,0.709,0.036,91.66
10139,Mumbai,West,4.8,23.6,185.0,38.0,1.02,Clear,0.0,16.8,87.3,5.0,Very High,9,Friday,0,0,7.5,27.9,0.89,0.09,79.46
10140,Mumbai,West,2.8,15.8,253.0,34.0,1.15,Fog,0.08,26.3,64.4,4.6,Medium,4,Sunday,1,0,18.5,28.8,0.803,0.017,94.76
10141,Hyderabad,South,5.1,27.8,292.0,46.0,1.86,Cloudy,0.14,31.0,76.4,3.4,High,20,Friday,0,0,7.8,13.4,0.849,0.185,149.8
10142,Pune,Industrial,8.0,32.4,239.0,51.0,1.53,Clear,0.0,21.7,84.0,8.6,High,12,Monday,0,0,8.4,23.7,0.884,0.242,130.61
10143,Hyderabad,Airport,13.6,47.3,176.0,83.0,1.11,Cloudy,0.0,25.1,84.1,4.7,Low,0,Tuesday,0,0,16.5,25.6,0.689,0.135,130.85
10144,Bangalore,South,1.9,16.6,258.0,31.0,1.95,Light Rain,0.4,32.5,40.3,20.3,Medium,14,Thursday,0,0,17.8,26.6,0.976,0.443,117.21
10145,Hyderabad,West,4.2,28.0,208.0,40.0,1.0,Clear,0.12,27.7,44.0,8.9,Medium,1,Friday,0,1,17.1,21.2,0.572,0.126,85.76
10146,Pune,Airport,9.1,47.0,276.0,54.0,1.28,Fog,0.15,34.1,61.9,6.8,High,6,Wednesday,0,0,9.7,18.7,0.725,0.056,129.84
10147,Bangalore,Suburban,2.4,8.6,274.0,32.0,1.21,Clear,0.07,43.7,54.8,3.0,Medium,2,Wednesday,0,0,15.9,22.4,0.833,0.155,99.0
10148,Delhi,Suburban,4.0,14.5,220.0,42.0,1.06,Clear,0.0,28.3,74.0,4.3,Very High,0,Monday,0,0,9.2,22.7,0.802,0.096,92.92
10149,Chennai,Suburban,5.6,30.0,143.0,39.0,1.74,Clear,0.07,21.9,55.9,4.2,Very High,20,Wednesday,0,0,15.2,31.2,0.981,0.062,99.32
10150,Delhi,Central,11.8,59.8,227.0,74.0,1.51,Heavy Rain,0.66,35.8,51.2,10.1,High,19,Tuesday,0,0,15.7,23.6,0.895,0.106,161.68
10151,Delhi,Industrial,5.0,23.3,100.0,49.0,1.06,Cloudy,0.02,23.4,87.2,2.8,Medium,2,Thursday,0,0,10.5,28.8,0.969,0.227,73.94
10152,Bangalore,West,9.4,45.6,238.0,57.0,1.11,Cloudy,0.02,29.0,73.6,7.6,High,23,Monday,0,0,9.4,22.0,0.892,0.187,115.63
10153,Chennai,North,4.4,24.7,266.0,43.0,1.0,Fog,0.2,24.2,33.1,10.2,Very High,16,Thursday,0,0,18.9,25.5,0.599,0.412,101.52
10154,Bangalore,South,5.7,31.4,256.0,41.0,1.3,Cloudy,0.0,26.1,36.3,7.5,High,9,Saturday,1,0,7.2,23.2,0.957,0.109,109.62
10155,Mumbai,East,16.0,77.7,325.0,97.0,1.16,Light Rain,0.39,34.2,31.8,1.4,High,3,Friday,0,1,11.8,20.0,0.854,0.076,184.02
10156,Chennai,North,2.6,13.5,365.0,31.0,1.2,Clear,0.02,31.4,67.4,11.3,Medium,22,Monday,0,0,10.3,15.2,0.833,0.154,117.5
10157,Bangalore,South,3.4,21.8,350.0,39.0,1.35,Cloudy,0.0,34.3,94.6,7.7,Medium,22,Sunday,1,0,19.6,15.4,0.76,0.138,129.65
